Year,mlb_comp_balance,mlb_cap_delta_dollar,mlb_cap_delta_percent,mlb_highest_cap_team,mlb_cap_max,mlb_lowest_cap_team,mlb_cap_min,mlb_highest_paid_player,mlb_highest_player_salary
2023,233000000,3000000.0,0.013000000000000001,New York Mets,346962166.0,Oakland Athletics,59630468.0,Max Scherzer,43333333.0
2022,230000000,20000000.0,0.09519999999999999,Los Angeles Dodgers,270381426.0,Baltimore Orioles,44888388.0,Max Scherzer,43333333.0
2021,210000000,2000000.0,0.0096,Los Angeles Dodgers,266020809.0,Baltimore Orioles,42421870.0,Mike Trout,37166667.0
2020,208000000,2000000.0,0.0097,Los Angeles Dodgers,124917397.0,Baltimore Orioles,23478635.0,Mike Trout,37766667.0
2019,206000000,9000000.0,0.045700000000000005,Boston Red Sox,229196106.0,Tampa Bay Rays,64178722.0,Stephen Strasburg,39333334.0
2018,197000000,2000000.0,0.0103,Boston Red Sox,227398860.0,Tampa Bay Rays,68810167.0,Clayton Kershaw,35571428.0
2017,195000000,6000000.0,0.0317,Los Angeles Dodgers,259166393.0,Milwaukee Brewers,68945179.0,Clayton Kershaw,35571428.0
2016,189000000,0.0,0.0,Los Angeles Dodgers,266745494.0,Milwaukee Brewers,62161191.0,Clayton Kershaw,34571428.0
2015,189000000,0.0,0.0,Los Angeles Dodgers,302735080.0,Miami Marlins,76090525.0,Clayton Kershaw,32571428.0
2014,189000000,11000000.0,0.061799999999999994,Los Angeles Dodgers,242157818.0,Miami Marlins,50559679.0,Zack Greinke,26000000.0
2013,178000000,0.0,0.0,New York Yankees,238088940.0,Houston Astros,35567913.0,Alex Rodriguez,29000000.0
2012,178000000,0.0,0.0,New York Yankees,228085456.0,Houston Astros,54547239.0,Alex Rodriguez,30000000.0
2011,178000000,8000000.0,0.0471,New York Yankees,212236399.0,Tampa Bay Rays,45756925.0,Alex Rodriguez,32000000.0
2010,170000000,8000000.0,0.049400000000000006,,,,,,
2009,162000000,7000000.0,0.0452,,,,,,
2008,155000000,7000000.0,0.0473,,,,,,
2007,148000000,11500000.0,0.0842,,,,,,
2006,136500000,8500000.0,0.0664,,,,,,
2005,128000000,7500000.0,0.0622,,,,,,
2004,120500000,3500000.0,0.029900000000000003,,,,,,
2003,117000000,,,,,,,,
