Year,nba_salary_cap,nba_cap_delta_dollar,nba_cap_delta_percent,nba_highest_cap_team,nba_cap_max,nba_lowest_cap_team,nba_cap_min,nba_highest_paid_player,nba_highest_player_salary
2023,134000000,10345000.0,0.0837,Golden State Warriors,235788953.0,Houston Rockets,85916452.0,Stephen Curry,51915615.0
2022,123655000,11241000.0,0.1,Golden State Warriors,200320856.0,San Antonio Spurs,101549048.0,Stephen Curry,48070014.0
2021,112414000,3274000.0,0.03,Golden State Warriors,184024769.0,Oklahoma City Thunder,90513233.0,Stephen Curry,45780966.0
2020,109140000,0.0,0.0,Golden State Warriors,175825052.0,New York Knicks,101969879.0,Stephen Curry,43006362.0
2019,109140000,7271000.0,0.07139999999999999,Houston Rockets,151594903.0,New York Knicks,110055762.0,Stephen Curry,40231758.0
2018,101869000,2776000.0,0.027999999999999997,Golden State Warriors,154587831.0,Dallas Mavericks,87760060.0,Stephen Curry,37457154.0
2017,99093000,4950000.0,0.0526,Cleveland Cavaliers,140394596.0,Dallas Mavericks,85147033.0,Stephen Curry,34682550.0
2016,94143000,24143000.0,0.34490000000000004,Cleveland Cavaliers,127570594.0,Minnesota Timberwolves,71566819.0,LeBron James,30963450.0
2015,70000000,6935000.0,0.11,Cleveland Cavaliers,107975670.0,New York Knicks,59812260.0,Kobe Bryant,25000000.0
2014,63065000,4386000.0,0.0747,Brooklyn Nets,92047946.0,Milwaukee Bucks,55114481.0,Kobe Bryant,23500000.0
2013,58679000,635000.0,0.0109,Brooklyn Nets,102928076.0,Orlando Magic,53516731.0,Kobe Bryant,30453805.0
2012,58044000,0.0,0.0,Los Angeles Lakers,99847565.0,Sacramento Kings,53575342.0,Kobe Bryant,27849149.0
2011,58044000,4000.0,0.0001,Los Angeles Lakers,81659758.0,Sacramento Kings,36652311.0,Kobe Bryant,25244493.0
2010,58040000,340000.0,0.0059,,,,,,
2009,57700000,-980000.0,-0.0167,,,,,,
2008,58680000,3050000.0,0.0548,,,,,,
2007,55630000,2495000.0,0.047,,,,,,
2006,53135000,3635000.0,0.07339999999999999,,,,,,
2005,49500000,5630000.0,0.1283,,,,,,
2004,43870000,30000.0,0.0007000000000000001,,,,,,
2003,43840000,3569000.0,0.0886,,,,,,
2002,40271000,-2229000.0,-0.0524,,,,,,
2001,42500000,7000000.0,0.1972,,,,,,
2000,35500000,1500000.0,0.0441,,,,,,
1999,34000000,4000000.0,0.1333,,,,,,
1998,30000000,3100000.0,0.1152,,,,,,
1997,26900000,2207000.0,0.0894,,,,,,
1996,24693000,1693000.0,0.0736,,,,,,
1995,23000000,7036000.0,0.4407,,,,,,
1994,15964000,789000.0,0.052000000000000005,,,,,,
1993,15175000,1175000.0,0.0839,,,,,,
1992,14000000,1500000.0,0.12,,,,,,
1991,12500000,629000.0,0.053,,,,,,
1990,11871000,2069000.0,0.21109999999999998,,,,,,
1989,9802000,2479000.0,0.3385,,,,,,
1988,7323000,1159000.0,0.188,,,,,,
1987,6164000,1219000.0,0.2465,,,,,,
1986,4945000,712000.0,0.16820000000000002,,,,,,
1985,4233000,633000.0,0.17579999999999998,,,,,,
1984,3600000,,,,,,,,
